arch,ckpt,clean_acc,pgd_eps_0.00784,pgd_eps_0.01569,pgd_eps_0.03137
resnet18,ratio_0.25_set_resnet18.pth,0.2503,0.2093,0.0339,0.0035
resnet18,ratio_0.5_set_resnet18.pth,0.2524,0.2262,0.0364,0.003
resnet18,ratio_1.0_set_resnet18.pth,0.2603,0.2695,0.0632,0.0064
resnet18,ratio_2.0_set_resnet18.pth,0.309,0.3087,0.0735,0.0078
resnet18,ratio_4.0_set_resnet18.pth,0.3656,0.3337,0.1406,0.0274
resnet18,ratio_0.25_set_resnet18.pth,0.1684,0.206,0.0349,0.0039
resnet18,ratio_0.5_set_resnet18.pth,0.2243,0.2331,0.0373,0.0039
resnet18,ratio_1.0_set_resnet18.pth,0.2651,0.2633,0.048,0.0051
resnet18,ratio_2.0_set_resnet18.pth,0.2837,0.3155,0.071,0.0068
resnet18,ratio_4.0_set_resnet18.pth,0.2656,0.3069,0.1785,0.0627
resnet18,ratio_0.25_set_resnet18.pth,0.226,0.1906,0.0228,0.001
resnet18,ratio_0.5_set_resnet18.pth,0.231,0.219,0.0284,0.0026
resnet18,ratio_1.0_set_resnet18.pth,0.2333,0.2646,0.0405,0.0021
resnet18,ratio_2.0_set_resnet18.pth,0.2567,0.3008,0.0674,0.0057
resnet18,ratio_4.0_set_resnet18.pth,0.3206,0.3355,0.1896,0.0663
resnet18,ratio_0.25_set_resnet18.pth,0.2165,0.191,0.0246,0.002
resnet18,ratio_0.5_set_resnet18.pth,0.2183,0.2263,0.0382,0.0043
resnet18,ratio_1.0_set_resnet18.pth,0.2816,0.2685,0.0534,0.0042
resnet18,ratio_2.0_set_resnet18.pth,0.2993,0.3106,0.069,0.006
resnet18,ratio_4.0_set_resnet18.pth,0.3011,0.3483,0.1212,0.0171
resnet18,ratio_0.25_set_resnet18.pth,0.2062,0.1927,0.0267,0.0032
resnet18,ratio_0.5_set_resnet18.pth,0.218,0.2335,0.0405,0.0028
resnet18,ratio_1.0_set_resnet18.pth,0.2372,0.2456,0.0434,0.0025
resnet18,ratio_2.0_set_resnet18.pth,0.2519,0.3196,0.0734,0.0062
resnet18,ratio_4.0_set_resnet18.pth,0.2621,0.3244,0.1839,0.0617
vgg_cifar,ratio_0.25_set_vgg_cifar.pth,0.1038,0.1036,0.1011,0.0977
vgg_cifar,ratio_0.5_set_vgg_cifar.pth,0.1771,0.1656,0.1541,0.1321
vgg_cifar,ratio_1.0_set_vgg_cifar.pth,0.2006,0.1714,0.1469,0.0994
vgg_cifar,ratio_2.0_set_vgg_cifar.pth,0.1918,0.1807,0.1562,0.1212
vgg_cifar,ratio_4.0_set_vgg_cifar.pth,0.1574,0.1462,0.1261,0.0961
vgg_cifar,ratio_0.25_set_vgg_cifar.pth,0.1,0.1,0.1,0.1
vgg_cifar,ratio_0.5_set_vgg_cifar.pth,0.1637,0.1631,0.1537,0.144
vgg_cifar,ratio_1.0_set_vgg_cifar.pth,0.2206,0.1956,0.172,0.1154
vgg_cifar,ratio_2.0_set_vgg_cifar.pth,0.2057,0.1831,0.164,0.1234
vgg_cifar,ratio_4.0_set_vgg_cifar.pth,0.1901,0.1749,0.1512,0.1192
vgg_cifar,ratio_0.25_set_vgg_cifar.pth,0.1,0.1024,0.1035,0.0988
vgg_cifar,ratio_0.5_set_vgg_cifar.pth,0.1644,0.1568,0.1453,0.1354
vgg_cifar,ratio_1.0_set_vgg_cifar.pth,0.2154,0.1882,0.1779,0.131
vgg_cifar,ratio_2.0_set_vgg_cifar.pth,0.2232,0.2056,0.1787,0.1273
vgg_cifar,ratio_4.0_set_vgg_cifar.pth,0.174,0.1519,0.1311,0.0824
vgg_cifar,ratio_0.25_set_vgg_cifar.pth,0.1504,0.1273,0.1241,0.1146
vgg_cifar,ratio_0.5_set_vgg_cifar.pth,0.1882,0.1558,0.1427,0.1268
vgg_cifar,ratio_1.0_set_vgg_cifar.pth,0.2111,0.1901,0.1627,0.1191
vgg_cifar,ratio_2.0_set_vgg_cifar.pth,0.2244,0.2007,0.1692,0.1294
vgg_cifar,ratio_4.0_set_vgg_cifar.pth,0.1961,0.1762,0.1623,0.1324
vgg_cifar,ratio_0.25_set_vgg_cifar.pth,0.1,0.1015,0.0999,0.0983
vgg_cifar,ratio_0.5_set_vgg_cifar.pth,0.188,0.1761,0.166,0.1418
vgg_cifar,ratio_1.0_set_vgg_cifar.pth,0.2172,0.1858,0.1737,0.1256
vgg_cifar,ratio_2.0_set_vgg_cifar.pth,0.2134,0.1708,0.1602,0.1205
vgg_cifar,ratio_4.0_set_vgg_cifar.pth,0.1585,0.1523,0.1412,0.1208
